"STUDYID","StudySpecies","USUBJID","Treatment","TreatmentDose","TRTDOSrank","MISTRESC","Count","SPECIES","Present"
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Normal",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Normal",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Normal",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Vacuolization",0,"MONKEY",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Normal",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Vacuolization",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Infiltration",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Necrosis",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Hypertrophy",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Inflammation",0,"RAT",0
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Vacuolization",0,"RAT",0
