Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name ,Variable Label ,Type,"Controlled Terms, Codelist, or Format ",Role,CDISC Notes ,Core
24,Findings,EG,EGBLFL,EGBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,Exp
25,Findings,EG,EGDRVFL,EGDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Derived flag should only be used where there is, within a dataset, a test code that contains both collected and derived data. In this circumstance the data definition file will contain information that describes the reasons and approach.",Perm
26,Findings,EG,EGEVAL,EGEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: RESPONSIBLE SCIENTIST, PRINCIPAL INVESTIGATOR, PEER REVIEWER.",Perm
27,Findings,EG,EGEXCLFL,EGEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
28,Findings,EG,EGREASEX,EGREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when EGEXCLFL is Y.,Perm
29,Findings,EG,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned study day of collection.,Exp
30,Findings,EG,EGDTC,EGDTC,Date/Time of ECG,Char,ISO 8601,Timing,"Date/time of ECG data collection, in ISO 8601 format. For indicating measurement over a continuous period, DTC should be used to indicate start date/time of collection.",Exp
31,Findings,EG,EGENDTC,EGENDTC,End Date/Time of ECG Collection,Char,ISO 8601,Timing,"Date/time of end of the ECG data collection, in ISO 8601 format. Should be populated for measurement over a continuous period only.",Perm
32,Findings,EG,EGDY,EGDY,Study Day of ECG Collection,Num,,Timing,"Study day of the ECG measurement collection, ininteger days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
33,Findings,EG,EGENDY,EGENDY,Study Day of End of ECG Collection,Num,,Timing,"End Study day of the ECG measurement collection, measured as integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
34,Findings,EG,EGTPT,EGTPT,Planned Time Point Name,Char,,Timing,"Text description of time when ECG data should be collected. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EGTPTNUM and EGTPTREF. Examples: Prestudy, Predose, 1 Hour Postdose.",Perm
35,Findings,EG,EGTPTNUM,EGTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of EGTPT to aid in sorting.,Perm
36,Findings,EG,EGELTM,EGELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601) relative to a fixed time point reference (EGTPTREF). This variable is useful where there are repetitive measures. Not a clock-time or a date-time variable. Represented as an ISO 8601 duration. Examples: “-PT15M” to represent the period of 15 minutes prior to the reference point indicated by EGTPTREF, or “PT8H” to represent the period of 8 hours after the reference point indicated by EGTPTREF.",Perm
37,Findings,EG,EGTPTREF,EGTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by EGELTM, if used for EGTPTNUM, and EGTPT. It is recommended that EGTPTREF be as descriptive as possible so the reference time point can be inferred without looking at others variables. Example: DAY 1 FIRST DOSE.",Perm
38,Findings,EG,EGRFTDTC,EGRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/time of the reference time point, EGTPTREF.",Perm
39,Findings,EG,EGEVLINT,EGEVLINT,Evaluation Interval,Char,ISO 8601,Timing,"Evaluation interval associated with an observation such as a finding --TESTCD, represented in ISO 8601 character format. Example: -PT15M to represent a period of the past 15 minutes as the evaluation interval for",Perm
1,Interventions,EX,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Interventions,EX,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Interventions,EX,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Interventions,EX,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Interventions,EX,EXSEQ,EXSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Interventions,EX,EXTRT,EXTRT,Name of Actual Treatment,Char,,Topic,Name of the treatment. Usually the verbatim name of the investigational treatment given during the dosing period for the observation.,Req
7,Interventions,EX,EXDOSE,EXDOSE,Dose per Administration,Num,,Record Qualifier,Amount of treatment administered.,Exp
8,Interventions,EX,EXDOSTXT,EXDOSTXT,Dose Description,Char,,Record Qualifier,"If the amount of treatment administered cannot be represented as a number and populated in EXDOSE, this field is used to describe the amount of treatment administered. Example: 200-400.",Perm
9,Interventions,EX,EXDOSU,EXDOSU,Dose Units,Char,(UNIT),Variable Qualifier,"Units for EXDOSE. Examples: ng, mg, or mg/kg.",Exp
10,Interventions,EX,EXDOSFRM,EXDOSFRM,Dose Form,Char,(FRM),Record Qualifier,"Dose form for EXTRT. Examples: TABLET, LOTION.",Exp
11,Interventions,EX,EXDOSFRQ,EXDOSFRQ,Dosing Frequency Per Interval,Char,(FREQ),Variable Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: QD (once daily), BID (2x daily), BIS (2x a week).",Req
12,Interventions,EX,EXROUTE,EXROUTE,Route of Administration,Char,(ROUTE),Variable Qualifier,"Route of administration for EXTRT. Examples: ORAL GAVAGE, DERMAL, INTRAVENOUS, BOLUS.",Req
13,Interventions,EX,EXLOT,EXLOT,Lot Number,Char,,Record Qualifier,"Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as “Lot A;Lot B”. Mixed lots are produced by the mixing of Lots A and B of the test article into one solution, suspension, or dietary food concentration. If no test article was administered, EXLOT should be null.",Exp
14,Interventions,EX,EXLOC,EXLOC,Location of Dose Administration,Char,,Record Qualifier,Specifies anatomical location (site) of administration. Example: LEFT HINDLIMB for a topical application or an injection site number. Each administration will require its own record.,Perm
15,Interventions,EX,EXMETHOD,EXMETHOD,Method of Administration,Char,,Record Qualifier,Method of the test or examination. Example: INFUSION.,Perm
16,Interventions,EX,EXTRTV,EXTRTV,Treatment Vehicle,Char,,Record Qualifier,Describes vehicle used for treatment. Example: SALINE.,Exp
17,Interventions,EX,EXVAMT,EXVAMT,Amount Administered,Num,,Record Qualifier,EXVAMT is the amount (volume or weight) of the administered treatment vehicle (compound + vehicle). This is not to be confused with EXDOSE. EXDOSE refers to the amount of test material administered to the animal.,Perm
18,Interventions,EX,EXVAMTU,EXVAMTU,Amount Administered Units,Char,(UNIT),Variable Qualifier,Units for EXVAMT.,Perm
19,Interventions,EX,EXADJ,EXADJ,Reason for Dose Adjustment,Char,,Record Qualifier,"Describes reason or explanation of why a dose is adjusted – used only when an adjustment is represented in EX. May be used for variations from protocol-specified doses or changes from expected doses (e.g., when dose is adjusted due to toxicity).",Perm
20,Interventions,EX,EXSTDTC,EXSTDTC,Start Date/Time of Treatment,Char,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE began, in ISO 8601 format.",Exp
21,Interventions,EX,EXENDTC,EXENDTC,End Date/Time of Treatment,Char,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE ended, in ISO 8601 format.",Perm
22,Interventions,EX,EXSTDY,EXSTDY,Study Day of Start of Treatment,Num,,Timing,"Study day when administration of the treatment began, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain",Perm
23,Interventions,EX,EXENDY,EXENDY,Study Day of End of Treatment,Num,,Timing,"Study day when administration of the treatment ended, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
24,Interventions,EX,EXDUR,EXDUR,Duration of Treatment,Char,ISO 8601,Timing,"Duration and unit of time for a continuous treatment. This may be used to denote the length of an infusion (e.g., 10 minutes).",Perm
25,Interventions,EX,EXTPT,EXTPT,Planned Time Point Name,Char,,Timing,Text description of time when a dose should be given. Note: This may be represented as an elapsed time relative to a fixed reference point such as time of last dose. See EXTPTNUM and EXTPTREF.,Perm
26,Interventions,EX,EXTPTNUM,EXTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of EXTPT to aid in sorting.,Perm
27,Interventions,EX,EXELTM,EXELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,Planned elapsed time (in ISO 8601) format relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive,Perm
28,Interventions,EX,EXTPTREF,EXTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by EXELTM, EXTPTNUM, and EXTPT. Examples: Previous dose, previous feed.",Perm
29,Interventions,EX,EXRFTDTC,EXRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,Date/time of EXTPTREF.,Perm
1,Findings,FW,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,FW,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,FW,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,"Identifier existing in the demographics domain, used to uniquely identify a subject across all studies for all applications or submissions involving the product.",Exp
4,Findings,FW,POOLID,POOLID,Pool Identifier,Char,,Identifier,Identifier used for pooling subjects to assign a single result to multiple subjects. Either USUBJID or POOLID must be populated.,Perm
5,Findings,FW,FWSEQ,FWSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,FW,FWGRPID,FWGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
7,Findings,FW,FWTESTCD,FWTESTCD,Food /Water Consumption Short Name,Char,(FWTESTCD),Topic,"Short name of the measurement, test, or examination described in FWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). FWTESTCD cannot contain characters other than letters, numbers, or underscores. Extensible controlled values are FC, FCRELBW, WC, and WCRELBW.",Req
8,Findings,FW,FWTEST,FWTEST,Food /Water Consumption Name,Char,(FWTEST),Synonym Qualifier,"Long name for FWTESTCD. The value in FWTEST cannot be longer than 40 characters. Extensible controlled values are Food Consumption, Food Consumption Relative to Body Wt, Water Consumption, Water Consumption Relative to Body Wt.",Req
9,Findings,FW,FWORRES,FWORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
10,Findings,FW,FWORRESU,FWORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
11,Findings,FW,FWSTRESC,FWSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from FWORRES in a standard format or standard units.",Exp
12,Findings,FW,FWSTRESN,FWSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of FWSTRESC. FWSTRESN should store all numeric test results or findings.,Exp
13,Findings,FW,FWSTRESU,FWSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for FWSTRESC or FWSTRESN.,Exp
14,Findings,FW,FWSTAT,FWSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in FWORRES.,Perm
15,Findings,FW,FWREASND,FWREASND,Reason Not Done,Char,,Record Qualifier,"Describes why FWSTAT is NOT DONE, such as FOOD WET.",Perm
16,Findings,FW,FWEXCLFL,FWEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
17,Findings,FW,FWREASEX,FWREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when FWEXCLFL is Y.,Perm
18,Findings,FW,FWDTC,FWDTC,Date/Time of Observation,Char,ISO 8601,Timing,Date/time of the start of theobservation in IS0 8601 character format.,Exp
19,Findings,FW,FWENDTC,FWENDTC,End Date/Time of Observation,Char,ISO 8601,Timing,Date/time of the end of theobservation in IS0 8601 character format.,Exp
20,Findings,FW,FWDY,FWDY,Study Day of Observation,Num,,Timing,"Study day of the start of the observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
21,Findings,FW,FWENDY,FWENDY,Study Day of End of Observation,Num,,Timing,"Study day of the end of the observation, measured as integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,LB,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,LB,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,LB,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all application or submissions involving the product.,Exp
4,Findings,LB,POOLID,POOLID,Pool Identifier,Char,,Identifier,Pooling Identifier for Samples. Either USUBJID or POOLID must be populated.,Perm
5,Findings,LB,LBSEQ,LBSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,LB,LBGRPID,LBGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject and can be used to support relationships within the domain and between domains using RELREC. This is not the treatment group number.,Perm
7,Findings,LB,LBREFID,LBREFID,Specimen Identifier,Char,,Identifier,Internal or external specimen identifier. Example: 1009570101.,Perm
8,Findings,LB,LBSPID,LBSPID,Sponsor-Defined Identifier,Char,,Identifier,Optional sponsor-defined reference number. Perhaps preprinted as an explicit line identifier or defined in the sponsor’s operational database. Example: Line number on the Lab page.,Perm
9,Findings,LB,LBTESTCD,LBTESTCD,Lab Test or Examination Short Name,Char,(LBTESTCD),Topic,"Short name of the measurement, test, or examination described in LBTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in LBTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). LBTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ALT, LDH.",Req
10,Findings,LB,LBTEST,LBTEST,Lab Test or Examination Name,Char,(LBTEST),Synonym Qualifier,"Long name for LBTESTCD. The value in LBTEST cannot be longer than 40 characters. Examples: Alanine Aminotransferase, Lactate Dehydrogenase.",Req
11,Findings,LB,LBCAT,LBCAT,Category for Lab Test,Char,,Grouping Qualifier,"Used to define a category of related records across subjects. Examples: URINALYSIS, CLINICAL CHEMISTRY, HEMATOLOGY, etc.",Exp
12,Findings,LB,LBSCAT,LBSCAT,Subcategory for Lab Test,Char,,Grouping Qualifier,"A further categorization of a test category such as DIFFERENTIAL, LIVER FUNCTION, ELECTROLYTES.",Perm
13,Findings,LB,LBORRES,LBORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
14,Findings,LB,LBORRESU,LBORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
15,Findings,LB,LBORNRLO,LBORNRLO,Reference Range Lower Limit-Orig Unit,Num,,Variable Qualifier,Lower end of reference range used at the time of collection for continuous measurements in original units. Should be populated only for continuous results.,Perm
16,Findings,LB,LBORNRHI,LBORNRHI,Reference Range Upper Limit-Orig Unit,Num,,Variable Qualifier,Upper end of reference range used at the time of collection for continuous measurements in original units. Should be populated only for continuous results.,Perm
17,Findings,LB,LBSTRESC,LBSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings or derived from LBORRES in a standard format or standard units. LBSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in LBSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in LBORRES and these results effectively have the same meaning, they could be represented in standard format in LBSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
18,Findings,LB,LBSTRESN,LBSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; contains the numeric form of LBSTRESC. LBSTRESN should store all numeric test results or findings.,Exp
19,Findings,LB,LBSTRESU,LBSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for LBSTRESC or LBSTRESN. Preferably SI units.,Exp
20,Findings,LB,LBSTNRLO,LBSTNRLO,Reference Range Lower Limit-Std Unit,Num,,Variable Qualifier,Lower end of reference range for continuous measurements in standardized units. Should be populated only for continuous results.,Perm
21,Findings,LB,LBSTNRHI,LBSTNRHI,Reference Range Upper Limit-Std Unit,Num,,Variable Qualifier,Upper end of reference range for continuous measurements in standardized units. Should be populated only for continuous results.,Perm
22,Findings,LB,LBSTNRC,LBSTNRC,Reference Range for Char Rslt-Std Unit,Char,,Variable Qualifier,"For normal range values that are character in ordinal scale or if categorical ranges were supplied (e.g., -1 to +1; NEGATIVE TO TRACE).",Perm
23,Findings,LB,LBNRIND,LBNRIND,Reference Range Indicator,Char,,Variable Qualifier,"Indicates where value falls with respect to reference range defined by LBORNRLO and LBORNRHI, LBSTRNRLO and LBSTNRHI, or by LBSTNRC. Examples: NORMAL, ABNORMAL, HIGH, LOW. Sponsors should specify in the study metadata (Comments column in the data definition file) whether LBNRIND refers to the original or standard reference ranges and results. Should not be used to indicate biological significance.",Perm
24,Findings,LB,LBSTAT,LBSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a results exists in LBORRES.,Perm
25,Findings,LB,LBREASND,LBREASND,Reason Not Done,Char,,Record Qualifier,"Describes why LBSTAT is NOT DONE, such as BROKEN EQUIPMENT or SPECIMEN LOST.",Perm
26,Findings,LB,LBNAM,LBNAM,Vendor Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results.,Perm
27,Findings,LB,LBSPEC,LBSPEC,Specimen Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen used for a measurement. Examples: WHOLE BLOOD, SERUM, URINE, LIVER, HEART.",Exp
28,Findings,LB,LBANTREG,LBANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen was obtained, such as a section or part of what is defined in the --SPEC variable. If the anatomical region is not included in the specimen description --SPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be null if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
29,Findings,LB,LBSPCCND,LBSPCCND,Specimen Condition,Char,,Variable Qualifier,"Free or standardized text describing the condition of the specimen. Examples: HEMOLYZED, ICTERIC, LIPEMIC, etc.",Perm
30,Findings,LB,LBSPCUFL,LBSPCUFL,Specimen Usability for the Test,Char,(NY),Variable Qualifier,Describes the usability of the specimen for the test. Example: N = the specimen is not usable; otherwise null.,Perm
31,Findings,LB,LBLOC,LBLOC,Specimen Collection Location,Char,,Record Qualifier,Location relevant to the collection of specimen for the measurement.,Perm
32,Findings,LB,LBLAT,LBLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
33,Findings,LB,LBDIR,LBDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
34,Findings,LB,LBPORTOT,LBPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality which means arrangement of, or apportioning of, for example, ENTIRE, SINGLE, SEGMENT, MANY.",Perm
35,Findings,LB,LBMETHOD,LBMETHOD,Method of Test or Examination,Char,,Record Qualifier,"Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK.",Exp
36,Findings,LB,LBBLFL,LBBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,Exp
37,Findings,LB,LBFAST,LBFAST,Fasting Status,Char,(NY),Record Qualifier,Indicator used to identify fasting status. May be left null if not relevant.,Perm
38,Findings,LB,LBDRVFL,LBDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records which represent the average of other records, or are not as originally received or collected are examples of records that might be derived for the submission datasets.",Perm
39,Findings,LB,LBTOX,LBTOX,Toxicity,Char,,Variable Qualifier,"Description of toxicity quantified by LBTOXGR. The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.",Perm
40,Findings,LB,LBTOXGR,LBTOXGR,Standard Toxicity Grade,Char,,Variable Qualifier,"Records toxicity grade value using a standard toxicity scale (such as the NCI CTCAE). Value should contain valid numbers only. The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.",Perm
41,Findings,LB,LBEXCLFL,LBEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
42,Findings,LB,LBREASEX,LBREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when LBEXCLFL is Y.,Perm
43,Findings,LB,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned study day of collection.,Exp
44,Findings,LB,LBDTC,LBDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,Date/time of specimen collection or observation in IS0 8601 format.,Exp
45,Findings,LB,LBENDTC,LBENDTC,End Date/Time of Specimen Collection,Char,ISO 8601,Timing,Date/time of the end of specimen or observation in ISO 8601 format. Should be populated only for continuous sample collection.,Perm
46,Findings,LB,LBDY,LBDY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection or observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
47,Findings,LB,LBENDY,LBENDY,Study Day of End of Specimen Collection,Num,,Timing,"Study day of the end of specimen collection or an observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
48,Findings,LB,LBTPT,LBTPT,Planned Time Point Name,Char,,Timing,"Text Description of time when specimen should be taken. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See LBTPTNUM and LBTPTREF. Examples: Start, 5 min post.",Perm
49,Findings,LB,LBTPTNUM,LBTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of LBTPT to aid in sorting.,Perm
50,Findings,LB,LBELTM,LBELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Elapsed time (in ISO 8601) relative to a planned fixed reference (LBTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: “- P15M” to represent the period of 15 minutes prior to the reference point indicated by LBTPTREF, or “P8H” to represent the period of 8 hours after the reference point indicated by LBTPTREF.",Perm
51,Findings,LB,LBTPTREF,LBTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by LBELTM, if used for LBTPTNUM, and LBTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
52,Findings,LB,LBRFTDTC,LBRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/time of the reference time point, LBTPTREF",Perm
1,Findings,MA,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,MA,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character code for the domain.,Req
3,Findings,MA,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,MA,MASEQ,MASEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,MA,MAGRPID,MAGRPID,Group Identifier,Char,,Identifier,Used to link together a block of related records for an animal in a single domain. This is not the treatment group number.,Perm
6,Findings,MA,MAREFID,MAREFID,Specimen Reference Identifier,Char,,Identifier,Optional internal or external identifier.,Perm
7,Findings,MA,MASPID,MASPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
8,Findings,MA,MATESTCD,MATESTCD,Macroscopic Examination Short Name,Char,(MATESTCD),Topic,"Short name of the measurement, test, or examination described in MATEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MATESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). MATESTCD cannot contain characters other than letters, numbers, or underscores.",Req
9,Findings,MA,MATEST,MATEST,Macroscopic Examination Name,Char,(MATEST),Synonym Qualifier,"Long name for MATESTCD. The value in MATEST cannot be longer than 40 characters. Extensible controlled values are Gross Pathological Examination, Clinical Signs Follow-up.",Req
10,Findings,MA,MABODSYS,MABODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the measurement performed.,Perm
11,Findings,MA,MAORRES,MAORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of the findings as originally received or collected, including the base gross pathological observation and any modifiers, such as severity, origin, classification, size, color, etc.",Exp
12,Findings,MA,MASTRESC,MASTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains only the base gross pathological observation (e.g., ENLARGED) from MAORRES without any modifiers. Or, if the examination was completed and there were no findings, the value must be NORMAL.",Exp
13,Findings,MA,MASTAT,MASTAT,Examination Status,Char,(ND),Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in MAORRES.,Perm
14,Findings,MA,MAREASND,MAREASND,Reason Not Done,Char,,Record Qualifier,Describes why MASTAT is NOT DONE.,Perm
15,Findings,MA,MANAM,MANAM,Laboratory Name,Char,,Record Qualifier,"Char Name or identifier of the vendor (i.e., laboratory) that provided the test results.",Perm
16,Findings,MA,MASPEC,MASPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, organ, or fluid specimen used as the object for the finding. Examples: GLAND, ADRENAL; KIDNEY; VESSEL, LYMPHATIC. See also Assumption 4.b.",Exp
17,Findings,MA,MAANTREG,MAANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen was obtained, such as a section or part of what is defined in the --SPEC variable. If the anatomical region is not included in the specimen description --SPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be null if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Exp
18,Findings,MA,MASPCCND,MASPCCND,Specimen Condition,Char,,Variable Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Perm
19,Findings,MA,MASPCUFL,MASPCUFL,Specimen Usability for the Test,Char,(NY),Variable Qualifier,Describes the usability of the specimen for the test. Example: N = the specimen is not usable; otherwise null.,Perm
