Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
19,Findings,CL,LOC,CLLOC,Location of a Finding,Char,,Record Qualifier,Can be used to specify where a clinical sign occurred. Example: LEFT EAR for skin rash.,Exp
20,Findings,CL,EVAL,CLEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX TECHNICIAN, OPHTHALMOLOGIST, VETERINARIAN.",Perm
21,Findings,CL,SEV,CLSEV,Severity,Char,,Record Qualifier,Describes the severity or intensity of a particular finding.,Perm
22,Findings,CL,EXCLFL,CLEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
23,Findings,CL,REASEX,CLREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when CLEXCLFL is Y.,Perm
24,Findings,CL,USCHFL,CLUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
25,Findings,CL,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of collection. Should be an integer.,Perm
26,Findings,CL,DTC,CLDTC,Date/Time of Observation,Char,ISO 8601,Timing,"Date/Time of the clinical observation in ISO 8601 format. For measurements related to a continuous evaluation interval, CLDTC should be used to indicate the start date/time of that interval.",Exp
27,Findings,CL,ENDTC,CLENDTC,End Date/Time of Observation,Char,ISO 8601,Timing,"Date/Time of end of observation interval, in ISO 8601 format. Should be populated when CLDTC represents the start date/time of a continuous evaluation interval.",Perm
28,Findings,CL,DY,CLDY,Study Day of Observation,Num,,Timing,"Study day of observation, in integer days. For measurements related to a continuous evaluation interval, CLDY can be used to indicate start day of that interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
29,Findings,CL,ENDY,CLENDY,Study Day of End of Observation,Num,,Timing,"Study day of the end of observation, in integer days. Can be populated when CLDY represents the start day of a continuous evaluation interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
30,Findings,CL,NOMDY,CLNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
31,Findings,CL,NOMLBL,CLNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of CLNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".",Perm
32,Findings,CL,TPT,CLTPT,Planned Time Point Name,Char,,Timing,"Text description of time when an observation should be taken, as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time postdose.",Perm
33,Findings,CL,TPTNUM,CLTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of CLTPT to aid in sorting.,Perm
34,Findings,CL,ELTM,CLELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601 format) relative to a planned reference (CLTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- PT15M"" to represent the period of 15 minutes prior to the reference point indicated by CLTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by CLTPTREF.",Perm
35,Findings,CL,TPTREF,CLTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by CLELTM, if used for CLTPTNUM, and CLTPT. It is recommended that CLTPTREF be as descriptive as possible, so the reference time point can be inferred without looking at other variables. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
36,Findings,CL,RFTDTC,CLRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, CLTPTREF.",Perm
1,Findings,DD,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,DD,DOMAIN,DOMAIN,Domain Abbreviation,Char,DD,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,DD,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,DD,SEQ,DDSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,DD,TESTCD,DDTESTCD,Death Diagnosis Short Name,Char,(DDTESTCD),Topic,"Short name of the measurement, test, or examination described in DDTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in DDTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). DDTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,DD,TEST,DDTEST,Death Diagnosis Name,Char,(DDTEST),Synonym Qualifier,Long name for DDTESTCD. The value in DDTEST cannot be longer than 40 characters.,Req
7,Findings,DD,ORRES,DDORRES,Result or Findings as Collected,Char,,Result Qualifier,"Result of the diagnosis of the subject's cause of death, as originally received or collected.",Req
8,Findings,DD,STRESC,DDSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the diagnosis information, copied or derived from DDORRES in a standard format. Examples: UNKNOWN, GAVAGE ERROR.",Exp
9,Findings,DD,RESCAT,DDRESCAT,Result Category,Char,,Variable Qualifier,"Used to categorize the result of a finding. Examples: TREATMENT RELATED, NONTREATMENT RELATED, UNDETERMINED, ACCIDENTAL, etc.",Perm
10,Findings,DD,EVAL,DDEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Examples: TOX PATHOLOGIST, PEER REVIEW, SPONSOR, VETERINARIAN.",Perm
11,Findings,DD,DTC,DDDTC,Date/Time,Char,ISO 8601,Timing,"The date/time of subject disposition, in ISO 8601 format.",Perm
12,Findings,DD,DY,DDDY,Study Day,Num,,Timing,"Study day of subject disposition, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,FW,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,FW,DOMAIN,DOMAIN,Domain Abbreviation,Char,FW,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,FW,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Findings,FW,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Findings,FW,SEQ,FWSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
6,Findings,FW,GRPID,FWGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
7,Findings,FW,TESTCD,FWTESTCD,Food/Water Consumption Short Name,Char,(FWTESTCD),Topic,"Short name of the measurement, test, or examination described in FWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). FWTESTCD cannot contain characters other than letters, numbers, or underscores. Extensible controlled values are FC, FCRELBW, WC, and WCRELBW.",Req
8,Findings,FW,TEST,FWTEST,Food/Water Consumption Name,Char,(FWTEST),Synonym Qualifier,"Long name for FWTESTCD. The value in FWTEST cannot be longer than 40 characters. Extensible controlled values are Food Consumption, Food Consumption Relative to Body Wt, Water Consumption, Water Consumption Relative to Body Wt.",Req
9,Findings,FW,ORRES,FWORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
10,Findings,FW,ORRESU,FWORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
11,Findings,FW,STRESC,FWSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from FWORRES, in a standard format or standard units. FWSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in FWSTRESN.",Exp
12,Findings,FW,STRESN,FWSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of FWSTRESC. FWSTRESN should store all numeric test results or findings.,Exp
13,Findings,FW,STRESU,FWSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for FWSTRESC and FWSTRESN.,Exp
14,Findings,FW,STAT,FWSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in FWORRES.,Perm
15,Findings,FW,REASND,FWREASND,Reason Not Done,Char,,Record Qualifier,"Describes why FWSTAT is NOT DONE, such as FOOD WET.",Perm
16,Findings,FW,EXCLFL,FWEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
17,Findings,FW,REASEX,FWREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when FWEXCLFL is Y.,Perm
18,Findings,FW,DTC,FWDTC,Start Date/Time of Observation,Char,ISO 8601,Timing,Date/Time of the start of the observation in IS0 8601 format.,Exp
19,Findings,FW,ENDTC,FWENDTC,End Date/Time of Observation,Char,ISO 8601,Timing,Date/Time of the end of the observation in IS0 8601 format.,Exp
20,Findings,FW,DY,FWDY,Study Day of Start of Observation,Num,,Timing,"Study day of the start of the observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
21,Findings,FW,ENDY,FWENDY,Study Day of End of Observation,Num,,Timing,"Study day of the end of the observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,LB,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,LB,DOMAIN,DOMAIN,Domain Abbreviation,Char,LB,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,LB,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all application or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Findings,LB,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Findings,LB,SEQ,LBSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
6,Findings,LB,GRPID,LBGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
7,Findings,LB,REFID,LBREFID,Specimen Identifier,Char,,Identifier,Internal or external specimen identifier. Example: 1009570101.,Perm
8,Findings,LB,SPID,LBSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier. Example: Line number on the Lab page.,Perm
9,Findings,LB,TESTCD,LBTESTCD,Lab Test or Examination Short Name,Char,(LBTESTCD),Topic,"Short name of the measurement, test, or examination described in LBTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in LBTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). LBTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ALT, LDH.",Req
10,Findings,LB,TEST,LBTEST,Lab Test or Examination Name,Char,(LBTEST),Synonym Qualifier,"Long name for LBTESTCD. The value in LBTEST cannot be longer than 40 characters. Examples: Alanine Aminotransferase, Lactate Dehydrogenase.",Req
11,Findings,LB,CAT,LBCAT,Category for Lab Test,Char,,Grouping Qualifier,"Used to define a category of the lab test performed. Examples: URINALYSIS, CLINICAL CHEMISTRY, HEMATOLOGY, etc.",Exp
12,Findings,LB,SCAT,LBSCAT,Subcategory for Lab Test,Char,,Grouping Qualifier,"A further categorization of a test category. Examples: DIFFERENTIAL, LIVER FUNCTION, ELECTROLYTES.",Perm
13,Findings,LB,ORRES,LBORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
14,Findings,LB,ORRESU,LBORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
15,Findings,LB,ORNRLO,LBORNRLO,Reference Range Lower Limit-Orig Unit,Char,,Variable Qualifier,Lower end of reference range used at the time of collection for continuous measurements in original units. Should be populated only for continuous results.,Perm
16,Findings,LB,ORNRHI,LBORNRHI,Reference Range Upper Limit-Orig Unit,Char,,Variable Qualifier,Upper end of reference range used at the time of collection for continuous measurements in original units. Should be populated only for continuous results.,Perm
17,Findings,LB,STRESC,LBSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from LBORRES, in a standard format or standard units. LBSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in LBSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in LBORRES and these results effectively have the same meaning, they could be represented in standard format in LBSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
18,Findings,LB,STRESN,LBSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of LBSTRESC. LBSTRESN should store all numeric test results or findings.,Exp
19,Findings,LB,STRESU,LBSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for LBSTRESC and LBSTRESN.,Exp
20,Findings,LB,STNRLO,LBSTNRLO,Reference Range Lower Limit-Std Unit,Num,,Variable Qualifier,Lower end of reference range for continuous measurements in standardized units. Should be populated only for continuous results.,Perm
21,Findings,LB,STNRHI,LBSTNRHI,Reference Range Upper Limit-Std Unit,Num,,Variable Qualifier,Upper end of reference range for continuous measurements in standardized units. Should be populated only for continuous results.,Perm
22,Findings,LB,STNRC,LBSTNRC,Reference Range for Char Rslt-Std Unit,Char,,Variable Qualifier,"For normal range values that are character in ordinal scale or if categorical ranges were supplied (e.g., -1 to +1; NEGATIVE TO TRACE).",Perm
23,Findings,LB,NRIND,LBNRIND,Reference Range Indicator,Char,,Variable Qualifier,"Indicates where value falls with respect to reference range defined by LBORNRLO and LBORNRHI, LBSTRNRLO and LBSTNRHI, or by LBSTNRC. Examples: NORMAL, ABNORMAL, HIGH, LOW. Sponsors should specify in the study metadata (Comments column in the data definition file) whether LBNRIND refers to the original or standard reference ranges and results. Should not be used to indicate biological significance.",Perm
24,Findings,LB,STAT,LBSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in LBORRES.,Perm
25,Findings,LB,REASND,LBREASND,Reason Not Done,Char,,Record Qualifier,"Describes why LBSTAT is NOT DONE, such as BROKEN EQUIPMENT or SPECIMEN LOST.",Perm
26,Findings,LB,NAM,LBNAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
27,Findings,LB,SPEC,LBSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen analyzed to obtain the measurement or finding. Examples: WHOLE BLOOD, SERUM, PLASMA, URINE, LIVER, HEART.",Exp
28,Findings,LB,ANTREG,LBANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen, or the region from which the specimen was obtained, such as a section or part of what is defined in the LBSPEC variable. If the anatomical region is not included in the specimen description LBSPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be null if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
29,Findings,LB,SPCCND,LBSPCCND,Specimen Condition,Char,,Record Qualifier,"Free or standardized text describing the condition of the specimen. Examples: HEMOLYZED, ICTERIC, LIPEMIC",Perm
30,Findings,LB,SPCUFL,LBSPCUFL,Specimen Usability for the Test,Char,(NY),Record Qualifier,Describes the usability of the specimen for the test. Should be N if the specimen is not usable; otherwise it should be null.,Perm
31,Findings,LB,LOC,LBLOC,Specimen Collection Location,Char,,Record Qualifier,Location relevant to the collection of specimen for the measurement.,Perm
32,Findings,LB,LAT,LBLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
33,Findings,LB,DIR,LBDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
34,Findings,LB,PORTOT,LBPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality, which means arrangement of, or apportioning of. Examples: ENTIRE, SINGLE, SEGMENT, MANY.",Perm
35,Findings,LB,METHOD,LBMETHOD,Method of Test or Examination,Char,,Record Qualifier,"Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK.",Exp
36,Findings,LB,BLFL,LBBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
37,Findings,LB,FAST,LBFAST,Fasting Status,Char,(NY),Record Qualifier,Indicator used to identify fasting status. The value should be Y or null,Perm
38,Findings,LB,DRVFL,LBDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records, or are not as originally received or collected are examples of records that might be derived for the submission datasets.",Perm
39,Findings,LB,TOX,LBTOX,Toxicity,Char,,Variable Qualifier,"Description of toxicity quantified by LBTOXGR. The sponsor is expected to provide the name and version of the scale used to map the terms, utilizing the data definition file external codelist attributes.",Perm
40,Findings,LB,TOXGR,LBTOXGR,Standard Toxicity Grade,Char,,Record Qualifier,"Records toxicity grade value using a standard toxicity scale (such as the NCI CTCAE). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2""). The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.",Perm
41,Findings,LB,EXCLFL,LBEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"""Y"" if the result should be excluded from all calculations, otherwise null.",Perm
42,Findings,LB,REASEX,LBREASEX,Reason for Exclusion,Char,,Record Qualifier,"The reason the result should be excluded from all calculations. Used only when LBEXCLFL is ""Y"".",Perm
43,Findings,LB,USCHFL,LBUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of the specimen collection was unscheduled. If a specimen collection was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are ""Y"" or null.",Exp
44,Findings,LB,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of specimen collection. Should be an integer.,Perm
45,Findings,LB,DTC,LBDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,"Date/Time of specimen collection, in IS0 8601 format.",Exp
46,Findings,LB,ENDTC,LBENDTC,End Date/Time of Specimen Collection,Char,ISO 8601,Timing,Date/Time of the end of specimen collection in ISO 8601 format. Should be populated only for continuous sample collection.,Perm
47,Findings,LB,DY,LBDY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
48,Findings,LB,ENDY,LBENDY,Study Day of End of Specimen Collection,Num,,Timing,"Study day of the end of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
49,Findings,LB,NOMDY,LBNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for specimen collections that may occur on different days into a single reported study day. Should be an integer.,Exp
50,Findings,LB,NOMLBL,LBNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of LBNOMDY as presented in the study report. Examples: Week 4, Day 28, Terminal Sac.",Perm
51,Findings,LB,TPT,LBTPT,Planned Time Point Name,Char,,Timing,"Text Description of time when specimen should be taken. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See LBTPTNUM and LBTPTREF. Examples: Start, 5 min post.",Perm
52,Findings,LB,TPTNUM,LBTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of LBTPT to aid in sorting.,Perm
53,Findings,LB,ELTM,LBELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Elapsed time (in ISO 8601 format) relative to a planned fixed reference (LBTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- P15M"" to represent the period of 15 minutes prior to the reference point indicated by LBTPTREF, or ""P8H"" to represent the period of 8 hours after the reference point indicated by LBTPTREF.",Perm
54,Findings,LB,TPTREF,LBTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by LBELTM, if used for LBTPTNUM, and LBTPT. It is recommended that LBTPTREF be as descriptive as possible so the reference time point can be inferred without looking at other variables. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
55,Findings,LB,RFTDTC,LBRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, LBTPTREF",Perm
1,Findings,MA,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,MA,DOMAIN,DOMAIN,Domain Abbreviation,Char,MA,Identifier,Two-character code for the domain.,Req
3,Findings,MA,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,MA,FOCID,FOCID,Focus of Study-Specific Interest,Char,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol, for which a measurement, test, or examination was performed. An example could be a drug application site, e.g., ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
5,Findings,MA,SEQ,MASEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,MA,GRPID,MAGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
7,Findings,MA,REFID,MAREFID,Specimen Reference Identifier,Char,,Identifier,Internal or external specimen identifier. Example: 1009570101.,Perm
8,Findings,MA,SPID,MASPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and was assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
9,Findings,MA,TESTCD,MATESTCD,Macroscopic Examination Short Name,Char,(MATESTCD),Topic,"Short name of the measurement, test, or examination described in MATEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MATESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). MATESTCD cannot contain characters other than letters, numbers, or underscores.",Req
10,Findings,MA,TEST,MATEST,Macroscopic Examination Name,Char,(MATEST),Synonym Qualifier,"Long name for MATESTCD. The value in MATEST cannot be longer than 40 characters. Extensible controlled values are Gross Pathological Examination, Clinical Signs Follow-up.",Req
11,Findings,MA,BODSYS,MABODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the specimen examined.,Perm
12,Findings,MA,ORRES,MAORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of the findings as originally received or collected, including the base gross pathological observation and any modifiers, such as severity, origin, classification, size, color, etc.",Exp
13,Findings,MA,STRESC,MASTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains only the base gross pathological observation (e.g., ENLARGED) from MAORRES, without any modifiers. If the examination was completed and there were no findings, the value must be UNREMARKABLE.",Exp
14,Findings,MA,STAT,MASTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in MAORRES.,Perm
15,Findings,MA,REASND,MAREASND,Reason Not Done,Char,,Record Qualifier,"Describes why MASTAT is NOT DONE. Example: Tissue not examined, Tissue Autolyzed.",Perm
16,Findings,MA,NAM,MANAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
17,Findings,MA,SPEC,MASPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, organ, or fluid examined. Examples: GLAND, ADRENAL; KIDNEY; VESSEL, LYMPHATIC. See also Assumption 4.b.",Exp
18,Findings,MA,ANTREG,MAANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen, or the region from which the specimen was obtained, such as a section or part of what is defined in the MASPEC variable. If the anatomical region is not included in the specimen description MASPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be null if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
19,Findings,MA,SPCCND,MASPCCND,Specimen Condition,Char,,Record Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Perm
20,Findings,MA,SPCUFL,MASPCUFL,Specimen Usability for the Test,Char,(NY),Record Qualifier,"Describes the usability of the specimen for the test. Should be ""N"" if the specimen is not usable; otherwise it should be null.",Perm
21,Findings,MA,LAT,MALAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
22,Findings,MA,DIR,MADIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
23,Findings,MA,PORTOT,MAPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality, which means arrangement of, or apportioning of. Examples: ENTIRE, SINGLE, SEGMENT, MANY.",Perm
24,Findings,MA,EVAL,MAEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (i.e., assigned by a person or a group). Examples: PRINCIPAL PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
25,Findings,MA,SEV,MASEV,Severity,Char,(SEV),Record Qualifier,"Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE.",Perm
26,Findings,MA,DTHREL,MADTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject (""Y"" = caused death, ""N"" = did not cause death, ""U"" = unknown). May be left null if not available.",Perm
27,Findings,MA,DTC,MADTC,Date/Time,Char,ISO 8601,Timing,"For a specimen collected or observed post mortem, this is the date/time of subject disposition in ISO 8601 format.",Perm
28,Findings,MA,DY,MADY,Study Day,Num,,Timing,"For a specimen collected or observed post mortem, this is the study day of subject disposition, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,MI,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,MI,DOMAIN,DOMAIN,Domain Abbreviation,Char,MI,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,MI,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
